country,geo,year,month,keyword,trend_score
France,FR,2023,11,EV charging,51.75
France,FR,2023,11,Tesla,76.0
France,FR,2023,11,electric car,1.0
France,FR,2023,11,electric vehicle,70.5
France,FR,2023,12,BYD,7.67
France,FR,2023,12,EV charging,45.5
France,FR,2023,12,Tesla,83.5
France,FR,2023,12,electric car,1.0
France,FR,2023,12,electric vehicle,43.33
France,FR,2024,1,BYD,6.5
France,FR,2024,1,EV charging,34.75
France,FR,2024,1,Tesla,69.5
France,FR,2024,1,electric car,1.0
France,FR,2024,1,electric vehicle,65.25
France,FR,2024,2,BYD,10.75
France,FR,2024,2,EV charging,45.0
France,FR,2024,2,Tesla,64.5
France,FR,2024,2,electric car,1.0
France,FR,2024,2,electric vehicle,82.25
France,FR,2024,3,BYD,8.6
France,FR,2024,3,EV charging,72.0
France,FR,2024,3,Tesla,63.2
France,FR,2024,3,electric car,1.0
France,FR,2024,3,electric vehicle,60.2
France,FR,2024,4,BYD,6.25
France,FR,2024,4,EV charging,58.5
France,FR,2024,4,Tesla,70.75
France,FR,2024,4,electric car,1.0
France,FR,2024,4,electric vehicle,59.25
France,FR,2024,5,BYD,6.75
France,FR,2024,5,EV charging,32.75
France,FR,2024,5,Tesla,57.5
France,FR,2024,5,electric car,1.0
France,FR,2024,5,electric vehicle,50.0
France,FR,2024,6,BYD,9.4
France,FR,2024,6,EV charging,62.0
France,FR,2024,6,Tesla,55.4
France,FR,2024,6,electric car,1.0
France,FR,2024,6,electric vehicle,58.8
France,FR,2024,7,BYD,6.75
France,FR,2024,7,EV charging,65.0
France,FR,2024,7,Tesla,59.25
France,FR,2024,7,electric car,1.0
France,FR,2024,7,electric vehicle,43.5
France,FR,2024,8,BYD,7.0
France,FR,2024,8,EV charging,77.75
France,FR,2024,8,Tesla,66.25
France,FR,2024,8,electric car,1.0
France,FR,2024,8,electric vehicle,60.0
France,FR,2024,9,BYD,11.8
France,FR,2024,9,EV charging,47.8
France,FR,2024,9,Tesla,61.0
France,FR,2024,9,electric car,1.0
France,FR,2024,9,electric vehicle,56.4
France,FR,2024,10,BYD,20.75
France,FR,2024,10,EV charging,25.0
France,FR,2024,10,Tesla,83.25
France,FR,2024,10,electric car,1.0
France,FR,2024,10,electric vehicle,68.5
France,FR,2024,11,BYD,15.0
France,FR,2024,11,EV charging,53.25
France,FR,2024,11,Tesla,84.75
France,FR,2024,11,electric car,1.0
France,FR,2024,11,electric vehicle,60.5
France,FR,2024,12,BYD,13.2
France,FR,2024,12,EV charging,40.0
France,FR,2024,12,Tesla,84.6
France,FR,2024,12,electric car,1.0
France,FR,2024,12,electric vehicle,38.8
Germany,DE,2018,12,BYD,3.0
Germany,DE,2018,12,EV charging,0.0
Germany,DE,2018,12,Tesla,27.0
Germany,DE,2018,12,electric car,0.0
Germany,DE,2018,12,electric vehicle,0.0
Germany,DE,2019,1,BYD,4.0
Germany,DE,2019,1,EV charging,8.0
Germany,DE,2019,1,Tesla,28.25
Germany,DE,2019,1,electric car,0.0
Germany,DE,2019,1,electric vehicle,61.5
Germany,DE,2019,2,BYD,4.25
Germany,DE,2019,2,EV charging,0.0
Germany,DE,2019,2,Tesla,29.25
Germany,DE,2019,2,electric car,0.25
Germany,DE,2019,2,electric vehicle,68.75
Germany,DE,2019,3,BYD,3.8
Germany,DE,2019,3,EV charging,0.0
Germany,DE,2019,3,Tesla,34.4
Germany,DE,2019,3,electric car,0.2
Germany,DE,2019,3,electric vehicle,64.2
